,Code,Name,Marcap,Assets,Liabilities,Equity,Profit,P/E,PER
82,066570,LG전자,20128681122000.0,50458634000000,31607835000000,18850799000000,1169150000000.0,1.0677892816108219,17.216508678954796
480,086900,메디톡스,961298820800.0,553379945531,220573211598,332806733933,55049656582.0,2.88845964575202,17.46239450863937
607,002170,삼양통상,190200000000.0,435311017501,52034088899,383276928602,10891836920.0,0.4962469321953534,17.462619152031888
1505,017890,한국알콜,285196032000.0,525675224534,128682125713,396993098821,16293057455.0,0.7183904023696691,17.50414449759884
1356,192400,쿠쿠홀딩스,725468574000.0,967378778177,186362746428,781016031749,40969161665.0,0.9288779544965197,17.707674370592958
620,024950,삼천리자전거,130081054600.0,150024071854,51646180803,98377891051,7320030964.0,1.3222590280225137,17.770560703874093
327,084010,대한제강,406671111000.0,1002128342347,414513155872,587615186475,22836734861.0,0.6920704576060199,17.807760762441685
41,294870,HDC현대산업개발,1631206417500.0,6342224568513,3546680078320,2795544490194,91575338267.0,0.5835022204875733,17.812726093831095
369,079960,동양이엔피,145017000000.0,345157986754,99778498964,245379487790,8073568533.0,0.5909907193388065,17.96194575016683
1326,049430,코메론,105409200000.0,170541470368,16880443014,153661027354,5863597329.0,0.6859852612931008,17.976882464058438
465,027740,마니커,72045550170.0,182227710154,114338078010,67889632144,3996849640.0,1.0612157982707127,18.02558431244864
454,038060,루멘스,44495338825.0,251191451067,146417418162,104774032905,2463829506.0,0.42467906972087743,18.059422828017713
66,001940,KISCO홀딩스,310403184000.0,1525509928617,229436787574,1296073141043,17148685562.0,0.2394951134858073,18.100698323364593
1568,097230,한진중공업,738642872470.0,2181927000000,1902592000000,279335000000,40613000000.0,2.644290448636941,18.187350662841947
83,108670,LX하우시스,607111259000.0,2478269000000,1604342000000,873927000000,33331000000.0,0.6946933313652056,18.2146127928955
764,160980,싸이맥스,172603039400.0,213159845648,77700982790,135458862858,9469739810.0,1.2742100129759528,18.226798503770084
284,006370,대구백화점,111462593300.0,524608030610,266914819535,257693211075,6106339097.0,0.43253989049622077,18.253587219674838
964,033160,엠케이전자,407803784300.0,2006346233634,1083698088726,922648144908,22324710397.0,0.44199274290055973,18.26692382781372
1576,009830,한화솔루션,7048612614450.0,17014182074367,9247256243492,7766925830875,385170000000.0,0.9075164058385148,18.30000419152582
134,100840,SNT에너지,171903681900.0,334143467465,91820393374,242323074091,9352161625.0,0.7093987336733963,18.38117098409321
963,323230,엠에프엠코리아,33448239000.0,86878584059,59133688689,27744895370,1797544008.0,1.2055637101506935,18.607744150428612
584,007160,사조산업,236500000000.0,1098154207495,581398644726,516755562769,12571159929.0,0.4576631913408549,18.8129020182478
368,060380,동양에스텍,66684500000.0,121202747683,61027079750,60175667933,3540105603.0,1.1081638524435986,18.836867449233548
