Num,Name,Value,Weight,Share
623,한컴MDS,26.35976,2.02222E-05,2.67
624,원익홀딩스,26.1971346,2.00975E-05,0.62
625,텔코웨어,25.588269,1.96304E-05,1.98
626,이지웰페어,25.54486,1.95971E-05,2.11
627,이월드,25.3566696,1.94527E-05,0.52
628,넥센,25.303036,1.94115E-05,0.78
629,경농,25.2663485,1.93834E-05,1.03
630,다우데이타,25.251339,1.93719E-05,0.79
631,파멥신,25.149555,1.92938E-05,0.94
632,롯데손해보험,25.08094,1.92412E-05,0.39
633,한국알콜,24.9485776,1.91396E-05,1.54
634,신영와코루,24.851,1.90648E-05,2.76
635,씨엠에스에듀,24.61744,1.88856E-05,2.49
636,태웅,24.5288435,1.88176E-05,1.38
637,필룩스,24.2431431,1.85984E-05,0.4
638,드림텍,24.0993721,1.84881E-05,0.58
639,이엔에프테크놀로지,23.81522,1.82701E-05,0.59
640,세보엠이씨,23.770152,1.82356E-05,2.84
641,아이원스,23.572635,1.8084E-05,2.74
642,앱클론,23.548324,1.80654E-05,0.82
643,샘표식품,23.39778,1.79499E-05,1.51
644,케이아이엔엑스,23.370282,1.79288E-05,1.31
645,연우,23.1050585,1.77253E-05,0.8
646,크리스탈,23.08282,1.77083E-05,0.38
